StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Bitua;Internet of Things Retail Technology Software;Santiago Region Metropolitana Chile;Bitua develops disruptive technologies to healthcare inventory.;2021-11-05;300000;1;Pre-Seed;CL;Latin America;
licitaLAB;Machine Learning Software;Santiago Region Metropolitana Chile;licitaLAB simplifies the selling of products to the State by offering business identification tools app management and market information.;2023-10-19;300000;2;Pre-Seed;CL;Latin America;Magical Nakama Ventures
Pivot Technology;Advertising Consulting E-Commerce Information Technology Software Web Design Web Development Wholesale;Santiago Region Metropolitana Chile;Software Company mainly focused on SaaS solutions as integration between ERP and eCommerce / Marketplace eCommerce Apps and Modules.;2022-11-01;300000;1;Pre-Seed;CL;Latin America;BLU/STORE Stech
Superbeauty;B2B Beauty E-Commerce Marketplace;Bogotá Distrito Especial Colombia;The everything store for beauty businesses in LatAm to better source and purchase beauty supply inventory;2022-06-30;300000;2;Pre-Seed;CO;Latin America;
Planet Oliver;Food and Beverage Food Delivery Grocery Retail;Bogotá Distrito Especial Colombia;Planet Oliver is a food company that aims to reduce food waste by selling food not sold by farmers and supermarkets.;2023-04-01;300000;1;Pre-Seed;CO;Latin America;Rockstart Vertical Partners
InsureHero;InsurTech;Quito Pichincha Ecuador;Automated & Scalable Insurance via Dynamic APIs & AI;2023-01-19;300000;1;Pre-Seed;EC;Latin America;White Hibiscus Capital
Digital Twin Corporation;AgTech Farming Supply Chain Management;Guatemala City Guatemala Guatemala;Digital Twin Corporation is an agtech startup focused on supply chain optimization.;2024-01-01;300000;2;Pre-Seed;GT;Latin America;Cacao Capital
Kolonus;Apps FinTech Marketplace Mobile Apps Mobile Payments Property Management PropTech Real Estate SaaS Software;Monterrey Nuevo Leon Mexico;SaaS Marketplace payment processing access control reservation and so on for Property Management and tenants;2020-06-03;300000;1;Pre-Seed;MX;Latin America;AngelHub VC
Bono;Software Sustainability;Mexico City Distrito Federal Mexico;Bono the SaaS platform that analyzes connects and finances industrial decarbonization.;2024-02-20;300000;1;Pre-Seed;MX;Latin America;500 Startups: Latam
MedETechni;Biotechnology Medical;San Juan NA - Puerto Rico Puerto Rico;MedETechni develops AI-driven UV phototherapy devices for wound healing and dermatological treatments enhancing patient care globally.;2024-06-03;300000;1;Pre-Seed;PR;Latin America;
Payssego;Employee Benefits Enterprise Applications Financial Services FinTech;São Paulo Sao Paulo Brazil;Payssego is a financial system platform that offers a range of financial wellbeing tools built around pay and earn wage access;2023-12-20;300000;1;Angel;BR;Latin America;Fabio Igel
Prosit;Medical;Mexico City Distrito Federal Mexico;Prosit is a health platform for key players in the health sector.;2023-06-07;300000;1;Angel;MX;Latin America;
vSaude App;Medical Mobile Apps SaaS Software;Brasil Sao Paulo Brazil;SaaS that help doctors saving lives of their patients and to leverage the growth of clinical centers around the world.;2022-04-20;299641;2;Seed;BR;Latin America;
Vegan Business;Media and Entertainment;São Paulo Sao Paulo Brazil;Vegan Business is an equity crowdfunding platform.;2021-12-06;298796;1;Seed;BR;Latin America;
PEGASI International;Artificial Intelligence (AI) Big Data Data Management Electronic Health Record (EHR) Enterprise Resource Planning (ERP) Health Care Information Technology Software;Santiago Region Metropolitana Chile;PEGASI is on a mission to reduce time elapsed until the first treatment of cancer patients by 50% through intelligent data management.;2020-10-01;295000;4;Pre-Seed;CL;Latin America;StartUp Health Katapult Conscious Venture Lab
A2W;AgTech Software;Alfenas Minas Gerais Brazil;A2W is an agtech company for agribusiness.;2022-03-14;292803;1;Seed;BR;Latin America;
ExtractoDAO LTD;;Curitiba Parana Brazil;We are creating the future : The world's first DeFi to bring the real economy of physical products to the blockchain;2022-01-15;292750;2;Debt Financing;BR;Latin America;
Solusolo;AgTech Biotechnology Chemical Chemical Engineering;Varginha Minas Gerais Brazil;Solusolo is a manufacturer of a Japanese biotechnology product that helps restore soil health.;2023-06-25;292459;2;Pre-Seed;BR;Latin America;VENTIUR Ventiur
Matchup Global;EdTech Education Internet;Buenos Aires Distrito Federal Argentina;B2B2C smart ecosystem that matches & engages students and universities solving the roadblocks to internationalization at the same time;2020-05-15;290000;3;Seed;AR;Latin America;
Everlog;Information Technology Management Information Systems Payments;Vinhedo Sao Paulo Brazil;A TMS 4.0 that applies artificial intelligence and big data to tender freight track deliveries and audit freight payments on one platform;2021-09-02;289397;3;Seed;BR;Latin America;Artesian VC Brinc Bossanova Investimentos Cedro Capital BMG UpTech
Rufy Digital;Financial Exchanges Financial Services Software;São Paulo Sao Paulo Brazil;Rufy Digital offers software developing and financial services and consulting for individuals and organizations.;2022-12-20;288467;1;Angel;BR;Latin America;
Convi Foods;Food and Beverage;Piracicaba Sao Paulo Brazil;Convi Foods is a food processing company.;2022-06-23;286287;1;Equity Crowdfunding;BR;Latin America;Veg Capital
Popai;Artificial Intelligence (AI) Food Processing Product Management Service Industry;Rio De Janeiro Rio de Janeiro Brazil;Popai Snack is a company that produces healthy snacks using artificial intelligence for developing products and flavors.;2021-11-29;285602;2;Equity Crowdfunding;BR;Latin America;EqSeed
Sigalei;Artificial Intelligence (AI) Government GovTech Legal Legal Tech;São Carlos Rondonia Brazil;Sigalei uses legislative data technology and legal knowledge and government relations to develop technology.;2020-04-21;285000;1;Seed;BR;Latin America;Gvangels Allievo Capital
Comsentimento;Electronic Health Record (EHR) Health Care Health Diagnostics Medical Device Oncology;São Paulo Sao Paulo Brazil;Comsentimento enriches and connects data to improve care and accelerate cancer research.;2022-12-13;283404;1;Pre-Seed;BR;Latin America;Incubate Fund
Axxes Saude;Credit Health Care;São Paulo Sao Paulo Brazil;We do something very simple at Axxes Saude: we help people get the care they want with the doctor of their choice and when time is right!;2021-11-01;281670;2;Angel;BR;Latin America;DOMO.VC Gvangels Bossanova Investimentos
Beyond Aero;Aerospace Software;Sorocaba Sao Paulo Brazil;The ultimate EFB an innovative ecosystem of services and tools focused on meeting the needs of aviation.;2021-12-14;281586;1;Angel;BR;Latin America;Gvangels
Rokin;Financial Services FinTech;Santiago Region Metropolitana Chile;Improving personal finances and decisions;2022-05-03;280000;1;Angel;CL;Latin America;
LoopKey;Cyber Security Hardware Internet of Things Mobile Devices;São Paulo Sao Paulo Brazil;Loopkey is a physical access control platform that enables remote management for any kind of door gate or barrier.;2020-09-01;277814;2;Seed;BR;Latin America;
Chiefs Group;Human Resources;Porto Alegre Rio Grande do Sul Brazil;Chiefs provides a recruitment platform for companies.;2022-07-19;277024;1;Corporate Round;BR;Latin America;OnePercent.IO E-volve.One
Mi Dulce Hogar;Home Services;Guadalajara Jalisco Mexico;Mi Dulce Hogar is a provider of home cleaning services.;2020-02-27;275000;2;Seed;MX;Latin America;500 Global Polígono Capital
Retri;Construction Industrial Logistics;Barranquilla Atlantico Colombia;Retri is a two-sided marketplace for heavy equipment rental;2023-09-01;275000;1;Pre-Seed;CO;Latin America;Equipos del Norte
CashWay;Banking Financial Services FinTech Risk Management;Florianópolis Santa Catarina Brazil;CashWay offers an end to end solution for financial markets.;2021-11-16;272544;2;Seed;BR;Latin America;Darwin Startups Torq
Kiddle Pass;Children Family Primary Education Underserved Children;São Paulo Sao Paulo Brazil;Kiddle Pass integrates children into cultural physical educational and leisure activities to provide a universe of possibilities.;2023-02-19;270831;2;Seed;BR;Latin America;DOMO.VC COREangels Bossanova Investimentos
4KST - Unlimited Vision;Artificial Intelligence (AI) Information Technology Machine Learning;Curitiba Parana Brazil;We build Predictive Models with adaptive and incremental machine learning algorithms offered as a Service’ (MLaaS).;2020-03-06;270174;1;Pre-Seed;BR;Latin America;FINEP
Gourmetzinho;Food and Beverage Food Processing;São Paulo Sao Paulo Brazil;Gourmetzinho is a developer of healthy food for babies and children.;2021-09-14;267170;2;Venture - Series Unknown;BR;Latin America;CapTable
RADIX Forest Investments;Agriculture Farming Forestry Insurance;Brasilândia Distrito Federal Brazil;RADIX Forest Investments is an environmental and financial gains by investing in the planting of commercial forests.;2023-07-08;267017;2;Grant;BR;Latin America;Bossanova Investimentos SMU Investimentos Fundo Vale
DataPolicy;FinTech GovTech Legal Tech SaaS Software;Guará Distrito Federal Brazil;We are a Saas platform that minimizes the risk of organizations and companies being affected by changes in government laws and regulations.;2020-10-01;265793;1;Seed;BR;Latin America;Cedro Capital
Capital Empreendedor;Credit Finance Financial Services FinTech Marketplace;Campina Sao Paulo Brazil;#1 Brazilian fintech marketplace. Democratizing credit to SME's;2021-12-03;265421;3;Equity Crowdfunding;BR;Latin America;CapTable Master Minds Capital
Pitom84;CRM Database Internet;Natal Rio Grande do Norte Brazil;Saas B2B que avalia e controla o setor de motos usadas de concessionárias e lojistas multimarcas.;2023-03-20;265000;2;Seed;BR;Latin America;VC One
Navegam;E-Commerce Logistics Security Tourism Transportation Travel;Manaus Amazonas Brazil;Navegam - Soluções em Mobilidade;2022-11-15;262507;5;Seed;BR;Latin America;FINEP Lojas Bemol Bertha Capital
Teambit;B2B Information Technology Internet of Things SaaS;Santiago Region Metropolitana Chile;Teambit is a software company that offers platform to measure and manage the performance of engineering teams.;2023-10-14;260000;1;Pre-Seed;CL;Latin America;Platanus
Flower Club;E-Commerce Flowers;São Paulo Sao Paulo Brazil;Flower Club delivers flowers on subscription basis.;2022-04-20;259617;1;Angel;BR;Latin America;Poli Angels
Realize;E-Learning Education;São Paulo Sao Paulo Brazil;Realize a firm focused in developing and administering online educational content;2024-07-08;256410;1;Pre-Seed;BR;Latin America;Investidores.VC
Easy Carros;Apps Automotive Marketplace Sustainability Transportation;Brasil Sao Paulo Brazil;Easy Carros offers services such as washing waxing and internal hygiene for cars without the owners leaving home or work.;2022-09-20;252761;3;Corporate Round;BR;Latin America;BRQ MAR ventures GWC Innovator Fund Prana Capital
Kigüi;E-Commerce Platforms Food and Beverage Software Waste Management;Mexico City Distrito Federal Mexico;Kigüi is minimizing food waste in supermarkets by incentivizing consumers with cash back to purchase near-expiration goods powered by AI.;2023-06-01;252000;2;Seed;MX;Latin America;Newtopia VC IDB Lab AWS Impact Accelerator Caricaco VC Antom.la
Picsel;Agriculture Credit Finance Financial Services FinTech Insurance InsurTech;Piracicaba Sao Paulo Brazil;Picsel offers a platform where farmers can quote and contract crop insurance monitor and adjust claims.;2022-12-01;250718;5;Pre-Seed;BR;Latin America;Fundação de Amparo à Pesquisa do Estado de SP Poli Angels
Uppo;Assistive Technology FinTech Wealth Management;São Paulo Sao Paulo Brazil;Uppo specializes in creating and managing intelligent and complete benefit clubs and loyalty programs.;2023-08-16;250581;1;Pre-Seed;BR;Latin America;EqSeed
Koomkin;Apps CRM E-Commerce Lead Generation Lead Management Marketplace Sales;Mexico City Distrito Federal Mexico;Koomkin is a B2B Marketplace for SMEs in LATAM with over 20000 suppliers and more than 150000 buyers.;2020-03-20;250000;3;Venture - Series Unknown;MX;Latin America;Dux Capital
Voa Health;Artificial Intelligence (AI) Generative AI SaaS Software;Curitiba Parana Brazil;Voa Health is an IT application redefining healthcare by empowering clinicians and healthcare providers with an advanced AI Assistant.;2024-01-18;250000;1;Undisclosed;BR;Latin America;
Rockty;FinTech Sales;Valinhos Sao Paulo Brazil;A complete platform for selling hosting and distributing digital products for entrepreneurs and creators.;2024-07-05;250000;1;Series A;BR;Latin America;GoMakers
Entrekids;E-Commerce Marketplace Retail;Santiago Region Metropolitana Chile;Entrekids is a marketplace which sells baby products clothing footwear sports and books online.;2021-10-19;250000;1;Series A;CL;Latin America;Newchip Accelerator
Colorchain;Fashion Industrial Design Industrial Manufacturing Manufacturing Medical Textiles;Bogotá Distrito Especial Colombia;Colorchain is the premium brand of medical wardrobe most closely aligned with the needs and values of doctors elite healthcare providers;2022-12-28;250000;1;Series A;CO;Latin America;Newchip Accelerator
Alameda;E-Commerce Furniture Home Decor Industrial Design Interior Design Retail;Mexico City Distrito Federal Mexico;Alameda is revolutionizing the furniture and decor industry for the benefit of the consumer.;2021-11-29;250000;1;Series A;MX;Latin America;Newchip Accelerator
Yema;Consumer Goods E-Commerce Food and Beverage Retail;Mexico City Distrito Federal Mexico;Yema is a seller of meal personal care home children pets ​​and diet products.;2022-01-28;250000;2;Series A;MX;Latin America;Newchip Accelerator Rhombuz VC
Endurance Tool;Apps Software Training;Mendoza Mendoza Argentina;Endurance Tool is a tool that provides solution for trainers enhancing training with AI knowledge and innovation.;2021-11-03;250000;1;Seed;AR;Latin America;Newchip Accelerator
Nanotica;Agriculture AgTech Farming Nanotechnology;San Martin Buenos Aires Argentina;Nanotica is a technology-based startup that aims to create new products for the agricultural industry using nanotechnology structures.;2020-05-05;250000;1;Seed;AR;Latin America;
Pedix;E-Commerce SaaS;Córdoba Cordoba Argentina;SaaS - proximity e-commerce platform for SMB;2022-03-05;250000;2;Seed;AR;Latin America;
Startup Brewing Company;Food and Beverage;Itupeva Sao Paulo Brazil;Startup Brewing  is a BeerTech company that helps small breweries to grow and put their product on the market at acceptable costs.;2020-03-01;250000;3;Seed;BR;Latin America;
Fiibo;Employee Benefits Health Care Information Technology Medical Software;Ceará Ceara Brazil;First health wellness and benefits marketplace in Brazil.;2024-06-17;250000;3;Seed;BR;Latin America;Alvarez & Marsal Capital Headline Vox Capital Oowlish Wayra Brasil
